Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
,,,PHINMA-Upang College Urdaneta,https://ror.org/01a62ps65,https://ror.org/0549zdk35,University of Pangasinan,Related,Production
,,,University of Pangasinan,https://ror.org/0549zdk35,https://ror.org/01a62ps65,PHINMA-Upang College Urdaneta,Related,Release
,,,Pangasinan State University-Alaminos City,https://ror.org/04kpwgd95,https://ror.org/01jdzvf98,Pangasinan State University,Parent,Production
,,,Pangasinan State University,https://ror.org/01jdzvf98,https://ror.org/04kpwgd95,Pangasinan State University-Alaminos City,Child,Release
,,,Pangasinan State University-Asingan,https://ror.org/02g6dk290,https://ror.org/01jdzvf98,Pangasinan State University,Parent,Production
,,,Pangasinan State University,https://ror.org/01jdzvf98,https://ror.org/02g6dk290,Pangasinan State University-Asingan,Child,Release
,,,Pangasinan State University-Bayambang,https://ror.org/02w0xdt81,https://ror.org/01jdzvf98,Pangasinan State University,Parent,Production
,,,Pangasinan State University,https://ror.org/01jdzvf98,https://ror.org/02w0xdt81,Pangasinan State University-Bayambang,Child,Release
,,,Pangasinan State University-Binmaley,https://ror.org/02n258f60,https://ror.org/01jdzvf98,Pangasinan State University,Parent,Production
,,,Pangasinan State University,https://ror.org/01jdzvf98,https://ror.org/02n258f60,Pangasinan State University-Binmaley,Child,Release
,,,Pangasinan State University-Infanta,https://ror.org/00wdff694,https://ror.org/01jdzvf98,Pangasinan State University,Parent,Production
,,,Pangasinan State University,https://ror.org/01jdzvf98,https://ror.org/00wdff694,Pangasinan State University-Infanta,Child,Release
,,,Pangasinan State University-San Carlos City,https://ror.org/03h00gm57,https://ror.org/01jdzvf98,Pangasinan State University,Parent,Production
,,,Pangasinan State University,https://ror.org/01jdzvf98,https://ror.org/03h00gm57,Pangasinan State University-San Carlos City,Child,Release
,,,International School of Asia and the Pacific,https://ror.org/033he6w89,https://ror.org/000nbj923,Medical Colleges of Northern Philippines,Related,Production
,,,Medical Colleges of Northern Philippines,https://ror.org/000nbj923,https://ror.org/033he6w89,International School of Asia and the Pacific,Related,Release
,,,AMA Computer College-Santiago City,https://ror.org/05p9am364,https://ror.org/001r73k91,AMA Computer University,Parent,Production
,,,AMA Computer University,https://ror.org/001r73k91,https://ror.org/05p9am364,AMA Computer College-Santiago City,Child,Release
,,,Cagayan State University-Gonzaga,https://ror.org/03m4gta92,https://ror.org/05ms4pv23,Cagayan State University,Parent,Production
,,,Cagayan State University,https://ror.org/05ms4pv23,https://ror.org/03m4gta92,Cagayan State University-Gonzaga,Child,Release
,,,Cagayan State University-Lasam,https://ror.org/04dzxe855,https://ror.org/05ms4pv23,Cagayan State University,Parent,Production
,,,Cagayan State University,https://ror.org/05ms4pv23,https://ror.org/04dzxe855,Cagayan State University-Lasam,Child,Release
,,,Cagayan State University-Sanchez Mira,https://ror.org/01eh6vd77,https://ror.org/05ms4pv23,Cagayan State University,Parent,Production
,,,Cagayan State University,https://ror.org/05ms4pv23,https://ror.org/01eh6vd77,Cagayan State University-Sanchez Mira,Child,Release
,,,Isabela State University-Cabagan,https://ror.org/0260d7037,https://ror.org/03c336h16,Isabela State University,Parent,Production
,,,Isabela State University,https://ror.org/03c336h16,https://ror.org/0260d7037,Isabela State University-Cabagan,Child,Release
,,,Isabela State University-Ilagan Campus,https://ror.org/021zvwj82,https://ror.org/03c336h16,Isabela State University,Parent,Production
,,,Isabela State University,https://ror.org/03c336h16,https://ror.org/021zvwj82,Isabela State University-Ilagan Campus,Child,Release
,,,Isabela State University-Jones Campus,https://ror.org/03q1dfv09,https://ror.org/03c336h16,Isabela State University,Parent,Production
,,,Isabela State University,https://ror.org/03c336h16,https://ror.org/03q1dfv09,Isabela State University-Jones Campus,Child,Release
,,,Isabela State University-Roxas Campus,https://ror.org/03xnwfx97,https://ror.org/03c336h16,Isabela State University,Parent,Production
,,,Isabela State University,https://ror.org/03c336h16,https://ror.org/03xnwfx97,Isabela State University-Roxas Campus,Child,Release
,,,Quirino State University - Cabarroguis,https://ror.org/00n2hza82,https://ror.org/03sdprd87,Quirino State University,Parent,Production
,,,Quirino State University,https://ror.org/03sdprd87,https://ror.org/00n2hza82,Quirino State University - Cabarroguis,Child,Release
,,,Centro Escolar University Malolos,https://ror.org/04902yf09,https://ror.org/04janbd12,Centro Escolar University,Parent,Production
,,,Centro Escolar University,https://ror.org/04janbd12,https://ror.org/04902yf09,Centro Escolar University Malolos,Child,Release
,,,Good Samaritan Colleges,https://ror.org/01e3deq84,https://ror.org/045dhqd98,Far Eastern University,Related,Production
,,,Far Eastern University,https://ror.org/045dhqd98,https://ror.org/01e3deq84,Good Samaritan Colleges,Related,Release
,,,Araullo University-San Jose Campus,https://ror.org/019fd0v20,https://ror.org/02htv7m79,Araullo University,Parent,Production
,,,Araullo University,https://ror.org/02htv7m79,https://ror.org/019fd0v20,Araullo University-San Jose Campus,Child,Release
,,,NU Clark,https://ror.org/04eezbc41,https://ror.org/000a8qk84,National University,Parent,Production
,,,National University,https://ror.org/000a8qk84,https://ror.org/04eezbc41,NU Clark,Child,Release
,,,Bataan Peninsula State University-Dinalupihan,https://ror.org/02hvxpn15,https://ror.org/018gzjd49,Bataan Peninsula State University,Parent,Production
,,,Bataan Peninsula State University,https://ror.org/018gzjd49,https://ror.org/02hvxpn15,Bataan Peninsula State University-Dinalupihan,Child,Release
,,,Bataan Peninsula State University-Abucay,https://ror.org/01fg9m133,https://ror.org/018gzjd49,Bataan Peninsula State University,Parent,Production
