Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
,,,Atmospheric Chemistry Observations & Modeling,https://ror.org/00hhjz250,https://ror.org/05cvfcr44,National Center for Atmospheric Research,Parent,Production
,,,National Center for Atmospheric Research,https://ror.org/05cvfcr44,https://ror.org/00hhjz250,Atmospheric Chemistry Observations & Modeling,Child,Release
,,,Atmospheric Chemistry Observations & Modeling,https://ror.org/00hhjz250,https://ror.org/04zhhyn23,University Corporation for Atmospheric Research,Parent,Production
,,,University Corporation for Atmospheric Research,https://ror.org/04zhhyn23,https://ror.org/00hhjz250,Atmospheric Chemistry Observations & Modeling,Child,Release
,,,Computational & Information Systems Laboratory,https://ror.org/05xc0qp17,https://ror.org/05cvfcr44,National Center for Atmospheric Research,Parent,Production
,,,National Center for Atmospheric Research,https://ror.org/05cvfcr44,https://ror.org/05xc0qp17,Computational & Information Systems Laboratory,Child,Release
,,,Computational & Information Systems Laboratory,https://ror.org/05xc0qp17,https://ror.org/04zhhyn23,University Corporation for Atmospheric Research,Parent,Production
,,,University Corporation for Atmospheric Research,https://ror.org/04zhhyn23,https://ror.org/05xc0qp17,Computational & Information Systems Laboratory,Child,Release
,,,Earth Observing Laboratory,https://ror.org/02b5sc606,https://ror.org/05cvfcr44,National Center for Atmospheric Research,Parent,Production
,,,National Center for Atmospheric Research,https://ror.org/05cvfcr44,https://ror.org/02b5sc606,Earth Observing Laboratory,Child,Release
,,,Earth Observing Laboratory,https://ror.org/02b5sc606,https://ror.org/04zhhyn23,University Corporation for Atmospheric Research,Parent,Production
,,,University Corporation for Atmospheric Research,https://ror.org/04zhhyn23,https://ror.org/02b5sc606,Earth Observing Laboratory,Child,Release
,,,Mesoscale & Microscale Meteorology Laboratory,https://ror.org/02exh3e86,https://ror.org/05cvfcr44,National Center for Atmospheric Research,Parent,Production
,,,National Center for Atmospheric Research,https://ror.org/05cvfcr44,https://ror.org/02exh3e86,Mesoscale & Microscale Meteorology Laboratory,Child,Release
,,,Mesoscale & Microscale Meteorology Laboratory,https://ror.org/02exh3e86,https://ror.org/04zhhyn23,University Corporation for Atmospheric Research,Parent,Production
,,,University Corporation for Atmospheric Research,https://ror.org/04zhhyn23,https://ror.org/02exh3e86,Mesoscale & Microscale Meteorology Laboratory,Child,Release
,,,Research Applications Laboratory,https://ror.org/05detrt70,https://ror.org/05cvfcr44,National Center for Atmospheric Research,Parent,Production
,,,National Center for Atmospheric Research,https://ror.org/05cvfcr44,https://ror.org/05detrt70,Research Applications Laboratory,Child,Release
,,,Research Applications Laboratory,https://ror.org/05detrt70,https://ror.org/04zhhyn23,University Corporation for Atmospheric Research,Parent,Production
,,,University Corporation for Atmospheric Research,https://ror.org/04zhhyn23,https://ror.org/05detrt70,Research Applications Laboratory,Child,Release
,,,Anton Melik Geographical Institute,https://ror.org/00kj76376,https://ror.org/04zvj8c18,Research Centre of the Slovenian Academy of Sciences and Arts,Parent,Production
,,,Research Centre of the Slovenian Academy of Sciences and Arts,https://ror.org/04zvj8c18,https://ror.org/00kj76376,Anton Melik Geographical Institute,Child,Release
,,,Fran Ramovš Institute of the Slovenian Language,https://ror.org/04jfcs144,https://ror.org/04zvj8c18,Research Centre of the Slovenian Academy of Sciences and Arts,Parent,Production
,,,Research Centre of the Slovenian Academy of Sciences and Arts,https://ror.org/04zvj8c18,https://ror.org/04jfcs144,Fran Ramovš Institute of the Slovenian Language,Child,Release
,,,Institute of Anthropological and Spatial Studies,https://ror.org/05h5x3r78,https://ror.org/04zvj8c18,Research Centre of the Slovenian Academy of Sciences and Arts,Parent,Production
